,CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,cluster,Rec1_StockCode,Rec1_Description,Rec2_StockCode,Rec2_Description,Rec3_StockCode,Rec3_Description,Rec4_StockCode,Rec4_Description,Rec5_StockCode,Rec5_Description,Rec6_StockCode,Rec6_Description,Rec7_StockCode,Rec7_Description,Rec8_StockCode,Rec8_Description,Rec9_StockCode,Rec9_Description,Rec10_StockCode,Rec10_Description
0,15325.0,103,1,232,162.29,162.29,47,0.0,0,11,162.29,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART,,
1,15326.0,333,1,386,311.71,311.71,29,0.0,1,11,311.71,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART,,
2,15327.0,52,1,116,208.75,208.75,10,0.0,2,11,208.75,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART,,
3,15329.0,35,5,476,1005.5,201.1,52,5.409836065573771,4,15,201.1,211.97098858098482,-3.100000000000006,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22151,PLACE SETTING WHITE HEART,,,,
4,15330.0,32,2,1312,714.96,357.48,10,2.3333333333333335,1,12,357.48,52.439038892794365,74.16000000000003,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART
5,15333.0,208,1,344,1028.56,1028.56,16,0.0,0,13,1028.56,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART
6,15334.0,156,3,274,351.67,117.22333333333334,67,0.17346938775510204,3,11,175.835,68.31358613043237,-96.61000000000001,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,22151,PLACE SETTING WHITE HEART,,,,
7,15335.0,53,1,80,173.97,173.97,34,0.0,1,12,173.97,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART,,,,
8,15339.0,66,3,414,557.57,185.85666666666668,79,2.896551724137931,2,12,278.78499999999997,29.535850250162138,41.77000000000004,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85099B,JUMBO BAG RED RETROSPOT,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22151,PLACE SETTING WHITE HEART
9,15341.0,80,1,812,2020.52,2020.52,17,0.0,2,9,2020.52,0.0,0.0,0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21326,AGED GLASS SILVER T-LIGHT HOLDER,22197,POPCORN HOLDER,20668,DISCO BALL CHRISTMAS DECORATION,21212,PACK OF 72 RETROSPOT CAKE CASES,22151,PLACE SETTING WHITE HEART,,,,
